N2*-endon,NNH*,NHNH*,NHNH2*,NH2NH2*,NH2*,NH3*,Alternating
-0.554705708,0.26275598,0.466096819,0.088719672,0.122088663,-1.572909949,-1.669615379,0.817461689
-0.69228676,0.088332389,0.312826651,-0.151401722,-0.145766292,-1.730337882,-1.991164996,0.780619149
-2.174154252,-0.247243291,-0.039834174,-0.550001072,-0.809320269,-2.249599206,-2.609728249,1.926910961
-0.474037473,0.332199891,0.499039775,0.179801194,0.602559989,-1.192213542,-1.188331617,0.806237363
-1.034787627,-0.598123293,-0.184250962,-0.664830736,-1.006258352,-2.308772191,-2.72194849,0.436664334
-0.701381232,-0.003710065,0.317391395,-0.062263082,0.090948232,-1.663697407,-1.59107159,0.697671167
0.75668029,1.10317242,1.610781173,1.284539476,1.980671547,-0.308609901,-0.221562332,0.75668029
0.145526535,0.767100112,0.918620347,0.583681611,1.432120172,-0.752792883,-0.279542525,0.848438561
-0.326484765,0.639866398,0.716600672,1.119645753,0.533421249,-0.76376812,-1.094540256,0.966351163
-0.660713388,0.062792429,0.358591067,0.173021187,0.557162349,-1.33854047,-1.15092968,0.723505817
-1.016032747,-0.36642438,0.064838208,-0.091978063,0.771026633,-1.566543644,-1.01146997,0.863004696
-0.086817612,0.557058962,0.794553522,0.95379348,0.537387507,-0.533897897,-1.135934746,0.643876575
-0.69659635,-0.146437968,0.55328626,0.31530669,1.356922335,-1.190385287,-1.230007122,1.041615645
-0.695935577,0.344382546,0.563365045,0.685035963,0.41746129,-0.366638284,-1.206061493,1.040318124
-0.574798216,0.338437178,0.525813438,0.696088387,0.524894754,-0.812300744,-0.997992408,0.913235394
-0.612407478,0.152992712,0.558519906,0.40876824,0.54139882,-0.792877998,-1.06929449,0.76540019
-0.525092865,1.225954597,0.840687429,1.140090294,0.625489005,0.046061163,-1.034715789,1.751047462
-0.328273464,0.758069353,0.94627734,1.258719068,0.75303183,-0.00067253,-0.865976697,1.086342817
-0.388690033,1.344684274,0.922519079,1.282938466,0.737594086,0.057906664,-0.926022839,1.733374307
-0.168422675,1.484159425,1.017502367,1.091115574,0.544968889,-0.406133463,-1.156052556,1.6525821
-0.071142643,1.833666616,1.406667596,1.716487961,1.059763032,0.733893773,-0.627475452,1.904809259
0.376092417,1.710264774,1.600619781,1.794455922,1.177175035,-0.12307516,-0.591729481,1.334172357
-0.074035635,1.10027871,0.709586691,0.311759828,0.012689213,-1.163466856,-1.516264664,1.174314345
-0.016321238,1.435303654,1.031286727,0.503496976,0.235798411,-1.022204846,-1.306612765,1.451624892
0.005277929,1.300914558,0.776991586,0.224134988,0.057982662,-1.327243677,-1.405217652,1.295636629
-0.051119202,0.8270142,0.584739958,0.277167126,0.607368058,-1.26588642,-0.885540825,0.878133403
-0.325336922,0.320493656,0.184276236,-0.455585564,0.280414052,-2.048541915,-1.446195939,0.735999616
-0.198090235,0.542373513,0.423398879,-0.318530644,0.24039326,-1.798166371,-1.12932689,0.740463748
-0.569235285,-0.277732951,-0.739844959,-0.556638867,0.510487928,-2.004610068,-1.378617814,1.067126795
-0.153816186,0.690594349,0.384530549,1.079484662,0.621778958,-0.725422836,-0.773961455,0.844410535
0.140537121,1.58258399,1.385095577,1.226310868,0.786683202,0.031499963,-0.946549637,1.442046869
-0.453681733,-0.099862209,0.20456476,-0.348547763,0.267983128,-1.743829287,-1.154619265,0.616530891
-0.078858715,0.632508916,0.431311708,0.31704446,0.641409062,-1.129865419,-0.827733243,0.71136763
0.009673124,1.359052749,0.986616581,0.893375542,0.860164446,-0.441304613,-0.902492154,1.349379625
-0.001119166,1.238491087,0.732834219,0.621071796,0.723584715,-0.511435703,-0.777717971,1.239610253
-0.070559124,1.272611455,0.910356154,1.044653582,0.809351054,-0.224339766,-0.896978914,1.343170579
0.115920437,0.876360644,0.682052079,1.001280715,0.910261852,-0.245887018,-0.601722211,0.760440207
0.104934484,0.653546276,1.029050422,0.782146414,0.949320457,-0.437384493,-0.691666674,0.548611793
0.005601979,1.551603296,1.232800979,1.37644205,0.856895791,0.379220367,-0.864496766,1.546001317
0.215935716,1.094859013,1.291892932,1.014692291,1.050259696,0.050178406,-0.595320159,0.878923297
0.110852829,1.773889405,1.379386558,1.558177801,0.900809823,0.653042497,-0.523036723,1.663036577
0.042746103,1.679114638,1.277545246,1.287675174,0.802300017,0.02310191,-0.970673371,1.636368535
0.33709839,2.146019571,1.645483502,1.901264946,1.205680189,1.046793555,-0.524815689,1.808921181
0.360343,2.25241965,1.66952536,1.854637077,1.155009978,0.685428857,-0.654013727,1.89207665
