TM-ads,n_d,electronegativity,Magnetic_moment,radius_of_d-orbitals(A),d-band(pure),Bandgap,VBM,CBM,Vacuum_level,E_affinity,Ion_Ener,Ef,Distance_N-N,iCOHP_(*N2),iCOHP_(N*),coupling_matrix_element_squared,UL
1,2.000,1.54,4.000,1.600,-1.872,0.166,-0.168,-0.003,4.304,-4.307,6.8281,-0.077,1.141,-1.750,-5.632,4.650,-0.817
1,2.000,1.33,4.000,1.750,-2.374,0.136,-0.108,0.028,4.354,-4.326,6.6339,-0.029,1.141,-1.829,-6.100,10.900,-0.781
1,2.000,1.3,2.000,1.750,-3.645,0.005,-0.032,-0.026,4.323,-4.349,6.8251,-0.030,1.126,-1.451,-4.748,11.900,-1.927
1,3.000,1.63,5.000,1.530,-1.777,0.091,-0.064,0.027,3.501,-4.357,6.7462,-0.882,1.137,-1.606,-4.480,3.150,-0.806
1,3.000,1.5,3.000,1.700,-3.033,0.219,-0.111,0.109,3.529,-4.470,7.5496,-1.050,1.151,-2.141,-4.815,9.050,-0.437
1,4.000,1.6,3.000,1.640,-3.111,0.247,-0.298,-0.051,4.319,-4.369,6.7589,-0.173,1.144,-2.108,-6.356,7.730,-0.698
1,4.000,2.36,0.000,1.620,-3.608,0.450,-0.223,0.227,3.373,-4.432,7.864,-1.285,1.145,-2.273,-4.994,7.270,-0.767
1,5.000,1.66,4.000,1.390,-1.624,0.617,-0.215,0.402,3.701,-4.366,6.7665,-1.067,1.137,-1.691,-4.595,2.350,-0.622
1,5.000,1.55,3.000,1.390,-2.483,0.220,-0.111,0.109,3.449,-4.385,7.434,-1.044,1.136,-1.457,-4.623,1.940,-0.966
1,5.000,2.16,-2.000,1.540,-2.621,0.174,-0.096,0.079,3.494,-4.604,7.0924,-1.188,1.188,-1.975,-5.169,6.620,-0.49
1,5.000,1.9,1.000,1.510,-2.670,0.237,-0.640,-0.403,4.247,-4.650,7.8335,-0.519,1.145,-2.256,-5.068,6.040,-0.65
1,6.000,1.83,2.000,1.320,-2.015,0.617,-0.228,0.389,3.432,-4.353,7.9024,-1.310,1.140,-1.792,-3.976,1.590,-0.644
1,6.000,2.2,2.000,1.440,-2.674,0.449,-0.765,-0.316,4.257,-4.573,8.4382,-0.548,1.140,-2.143,-4.789,5.130,-0.55
1,7.000,1.88,-1.000,1.260,-1.842,0.166,-0.648,-0.483,4.204,-4.687,7.881,-0.568,1.134,-1.687,-3.254,1.340,-1.04
1,7.000,2.2,0.000,1.460,-2.441,0.400,-0.801,-0.402,4.248,-4.650,7.3605,-0.601,1.136,-1.940,-4.919,3.870,-0.913
1,7.000,2.2,-1.000,1.410,-2.714,0.241,-0.127,0.113,3.423,-4.885,8.967,-1.576,1.135,-2.091,-4.210,4.450,-0.765
1,8.000,1.91,0.000,1.240,-1.346,0.952,-1.051,-0.099,4.206,-4.305,7.6398,-0.826,1.130,-1.559,-2.212,1.160,-1.751
1,8.000,2.28,-1.000,1.420,-2.325,0.218,-0.116,0.101,3.442,-4.911,7.4589,-1.570,1.135,-1.688,-3.853,3.320,-1.086
